횡단보도ID,행정동,읍면동명,시나리오,사고건수_원본,노인비율,LANES,MAX_SPD,crossing_length_m,ped_green_base_sec,risk_score,PET_A_proxy_count,PET_A_proxy_mean,PET_A_proxy_severe,PET_A_proxy_moderate,PET_A_proxy_safe,PET_B_surrogate_count,PET_B_surrogate_mean,PET_B_surrogate_severe,PET_B_surrogate_moderate,PET_B_surrogate_safe,elderly_incomplete_cross,veh_avg_delay_sec,veh_max_delay_sec,queue_avg,queue_max
23040,중림동,봉래동2가,baseline,8.0,0.19019913136114072,2.0,50.0,7.0,14.0,6.701991313611406,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,81.48545474992729,100.0,1.0550173611111113,3.0
23040,중림동,봉래동2가,smart,8.0,0.19019913136114072,2.0,50.0,7.0,14.0,6.701991313611406,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,81.48545474992729,100.0,1.0550173611111113,3.0
9494,신당동,신당동,baseline,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,80.91666666666667,16.727409303777552,0.5833333333333334,0.8333333333333334,79.5,161.5,-3.89801879988171,123.58333333333333,37.916666666666664,0.0,36.083333333333336,43.52117656467072,98.375,0.1759246331057852,2.25
9494,신당동,신당동,smart,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,84.91666666666667,17.12168585720182,1.4166666666666667,1.1666666666666667,82.33333333333333,58.0,-5.233917077173309,43.583333333333336,14.416666666666666,0.0,13.333333333333334,44.39770814266037,98.16666666666667,0.22910766048974973,2.4166666666666665
6122,회현동,남창동,baseline,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.426481566467968,85.58333333333333,0.2946397147476888,2.9166666666666665
6122,회현동,남창동,smart,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.426481566467968,85.58333333333333,0.2946397147476888,2.9166666666666665
6213,회현동,남창동,baseline,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.446596858638743,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,73.28055165993533,100.0,0.001242283950617284,1.0
6213,회현동,남창동,smart,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.446596858638743,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,73.28055165993533,100.0,0.001242283950617284,1.0
71666,장충동,장충동1가,baseline,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,619.25,6.928883784595789,105.75,95.25,418.25,334.9166666666667,-45.527174987134636,334.9166666666667,0.0,0.0,61.25,78.38475845702682,100.0,4.024290674603175,13.166666666666666
71666,장충동,장충동1가,smart,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,702.75,8.606911511402814,93.91666666666667,75.83333333333333,533.0,312.4166666666667,-43.56201872542828,312.4166666666667,0.0,0.0,56.0,77.23135152568254,100.0,3.9829199735449747,13.0
